village_id,village_name,district,state,ndbi_mean_2020,ndbi_mean_2025,ndbi_median_2020,ndbi_median_2025,builtup_frac_2020,builtup_frac_2025,builtup_growth_abs,builtup_growth_pct
,,,,-0.03514770157223267,-0.034010804182572255,-0.027337456407073874,-0.027335615566116342,0.06452880547222224,0.0591086949702175,-0.005420110502004743,0.27798443836821296
,,,,-0.026829129646728695,-0.04152252592213385,-0.027355225589474282,-0.04296360649137889,0.08592219468951923,0.06215866119954109,-0.02376353348997813,0.25294312968785015
,,,,-0.033084712695354394,-0.06431164099935575,-0.03517477428663341,-0.05856763741737419,0.08429875900864577,0.0437782741279056,-0.04052048488074016,0.1573272587160294
,,,,-0.02576563610756556,-0.046436538368590394,-0.019519593174027784,-0.042963638837394805,0.09840846869137694,0.054980293192597354,-0.04342817549877958,0.13840223282921377
,,,,-0.0444129181459378,-0.04832379743756891,-0.03710570054725782,-0.04101119734950195,0.04652425895035746,0.05190573958937105,0.005381480639013596,0.32371244934447335
,,,,-0.05486469818929482,-0.05993144539137666,-0.042967282335587414,-0.05076058182715128,0.03369221766553589,0.029280700100244125,-0.004411517565291762,0.14922391594529838
,,,,-0.07766638200878327,-0.07388558015834835,-0.06637407094279282,-0.06447377523784453,0.017374838759253972,0.020086913008825924,0.0027120742495719513,0.10645669499107313
,,,,-0.06350192908692094,-0.061224886525939375,-0.050732891718513404,-0.04883294256665332,0.034119929718609145,0.03138515596731839,-0.0027347737512907373,0.16214333268749842
,,,,-0.03174507348046486,-0.050582915549227614,-0.019516522159075848,-0.042940805208482966,0.034496604183024124,0.02796124365268901,-0.006535360530335114,0.136804069707564
,,,,-0.06760461684142845,-0.09895622064033754,-0.06640635860413377,-0.09766207707045936,0.04895831552285198,0.03853301354067741,-0.010425301982174581,0.15946492868473625
,,,,-0.04924302472033644,-0.06508439251071962,-0.04294231242648316,-0.05857250764916044,0.021592857680486452,0.01678928998940668,-0.004803567691079774,0.08312197616118956
,,,,0.0037985557839537525,-0.02998239759759447,0.019558121355075578,-0.019508975844242413,0.14184879186586574,0.08616791653146427,-0.055680875334401476,0.23843405415247151
,,,,-0.03934433790145662,-0.06429915747634093,-0.03514666241664353,-0.05856805602582292,0.09414518220521445,0.050909133820878666,-0.0432360483843358,0.12516181542049942
,,,,-0.0337967491180958,-0.07077339565810836,-0.01952924608984215,-0.058590078283407065,0.08563989400054448,0.04220227206269624,-0.04343762193784825,0.12458879548495604
,,,,-0.0060507432628593445,-0.04486498689930349,0.0039069264432551095,-0.03513930409527936,0.1358216837518192,0.05145574455644522,-0.08436593919537397,0.144734303204329
,,,,0.003012610901847016,-0.046902324964346445,0.01954023809553219,-0.035171640190756547,0.1479778447657254,0.10614511732526107,-0.04183272744046433,0.6587889596188349
,,,,0.014952401610030036,-0.0430327618145464,0.03516682182436368,-0.035156150040571266,0.35009303041158946,0.20926639808198408,-0.14082663232960532,0.040157764165140976
,,,,0.05525873146475043,-0.012433335986237717,0.07617454206868379,-0.003928647094812824,0.43754779775246705,0.26122891083603883,-0.17631888691642839,-0.06682976272536137
,,,,-0.004072581344370415,-0.0478142007415958,0.019526337841442976,-0.03513637635055454,0.3008054330088162,0.18694023612733238,-0.11386519688148375,0.04710425705311917
,,,,-0.024426995235167944,-0.05336635500282991,-0.013672995223302307,-0.04294821778907509,0.19793240013742705,0.13653163480849403,-0.06140076532893301,0.20235151947899332
,,,,-0.133258840266538,-0.14421482066022667,-0.15237647918336716,-0.16800972573051065,0.027566492758000393,0.028811088894178476,0.0012445961361780835,0.12233537263223969
,,,,-0.03276677034019214,-0.07055424740832397,-0.027327389445407597,-0.07423581512236857,0.17732319518613743,0.11207581405127762,-0.06524738113485991,0.11888374367780895
,,,,-0.09813062804420611,-0.1443559474862278,-0.10742065755797493,-0.16799936751988692,0.07742191108402365,0.04122694689342857,-0.03619496419059512,0.03000341769760828
,,,,-0.05007609651491294,-0.1013903970983538,-0.05076570383835638,-0.11329818626975414,0.1496019593611685,0.08514568511502456,-0.06445627424614402,0.0479499777803526
